cell,SESU_ID,signed_distance_km,side,event_year,x_m,y_m,in_10km,old_event_year,old_side,old_distance,old_in_10km,matches
10156,1,63,outside,2006,492750,9126750,FALSE,2006,outside,63,FALSE,TRUE
10212,1,62.38990234375,outside,2015,520750,9126750,FALSE,2015,outside,62.38990234375,FALSE,TRUE
10213,1,62.47599609375,outside,2004,521250,9126750,FALSE,2004,outside,62.47599609375,FALSE,TRUE
10214,1,62.56596484375,outside,2012,521750,9126750,FALSE,2012,outside,62.56596484375,FALSE,TRUE
10215,1,62.659796875,outside,2022,522250,9126750,FALSE,2022,outside,62.659796875,FALSE,TRUE
10216,1,62.75746875,outside,2021,522750,9126750,FALSE,2021,outside,62.75746875,FALSE,TRUE
10221,1,63.30284375,outside,2017,525250,9126750,FALSE,2017,outside,63.30284375,FALSE,TRUE
10222,1,63.42318359375,outside,2009,525750,9126750,FALSE,2009,outside,63.42318359375,FALSE,TRUE
10223,1,63.5472265625,outside,2004,526250,9126750,FALSE,2004,outside,63.5472265625,FALSE,TRUE
10236,1,65.486640625,outside,2021,532750,9126750,FALSE,2021,outside,65.486640625,FALSE,TRUE
10535,1,62.45198046875,outside,2020,458750,9126250,FALSE,2020,outside,62.45198046875,FALSE,TRUE
